CONTRATOS,CLIENTE,ORGANIZACAO,NUMERO_CONTRATO,NUMERO_MAIS_CONTRATO,CONTRACT_ID
ALECE,ASSEMBLEIA LEGISLATIVA DO ESTADO DO CEARÁ,ALUCOM,97-2025,ALECE - 97-2025,3
10a REGIAO MILITAR,COMANDO DA 10a REGIAO MILITAR,ALUCOM,002/2024,10a REGIAO MILITAR - 002/2024,4
CMFOR,COLEGIO MILITAR DE FORTALEZA,ALUCOM,006/2023-SALC/CMF,CMFOR - 006/2023-SALC/CMF,5
ESCOLA DE APRENDIZEM  DE MARINHEIROS DO CEARÁ,ESCOLA DE APRENDIZEM  DE MARINHEIROS DO CEARÁ,ALUCOM,83601/2024-007/00,ESCOLA DE APRENDIZEM  DE MARINHEIROS DO CEARÁ - 83601/2024-007/00,6
UFC,UNIVERSIDADE FEDERAL DO CEARÁ,ALUCOM,08-2024,UFC - 08-2024,7
IFCE CAMOCIM,INSTITUTO FEDERAL DE EDUCAÇÃO E TECNOLOGIA - IFCE CAMOCIM,ALUCOM,04/2024,IFCE CAMOCIM - 04/2024,8
IFCE CAUCAIA,INSTITUTO FEDERAL DE EDUCAÇÃO E TECNOLOGIA - IFCE CAUCAIA,ALUCOM,03-2024,IFCE CAUCAIA - 03-2024,9
IFCE ITAPIPOCA,INSTITUTO FEDERAL DE EDUCAÇÃO E TECNOLOGIA - IFCE ITAPIPOCA,ALUCOM,04/2024,IFCE ITAPIPOCA - 04/2024,10
IFCE PARACURU,INSTITUTO FEDERAL DE EDUCAÇÃO E TECNOLOGIA - IFCE PARACURU,ALUCOM,02/2024,IFCE PARACURU - 02/2024,11
IFCE JUAZEIRO DO NORTE,INSTITUTO FEDERAL DE EDUCAÇÃO E TECNOLOGIA - IFCE JUAZEIRO DO NORTE,ALUCOM,05/2024,IFCE JUAZEIRO DO NORTE - 05/2024,12
MINISTÉRIO DA AGRICULTURA E PECUÁRIA/SUPERINTENDÊNCIA FEDERAL DE AGRICULTURA E PECUÁRIA NO PARANÁ (SFA-PR/MAPA),MINISTÉRIO DA AGRICULTURA E PECUÁRIA/SUPERINTENDÊNCIA FEDERAL DE AGRICULTURA E PECUÁRIA NO PARANÁ (SFA-PR/MAPA),ALUCOM,10/2024,MINISTÉRIO DA AGRICULTURA E PECUÁRIA/SUPERINTENDÊNCIA FEDERAL DE AGRICULTURA E PECUÁRIA NO PARANÁ (SFA-PR/MAPA) - 10/2024,13
CAPITANIA DOS PORTOS DE SERGIPE,CAPITANIA DOS PORTOS DE SERGIPE,ALUCOM,82320/202461/00,CAPITANIA DOS PORTOS DE SERGIPE - 82320/202461/00,14
IFRN CAMPUS CEARÁ-MIRIM,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO NORTE/CAMPUS CEARÁ-MIRIM",ALUCOM,101/2024 -PROAD/IFRN,IFRN CAMPUS CEARÁ-MIRIM - 101/2024 -PROAD/IFRN,15
IFRN CAMPUS NATAL,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO NORTE/CAMPUS ZONA NORTE",ALUCOM,287/2024 - PROAD/IFRN,IFRN CAMPUS NATAL - 287/2024 - PROAD/IFRN,16
TRE RJ,TRIBUNAL REGIONAL ELEITORAL O RIO DE JANEIRO,ALUCOM,07-2024,TRE RJ - 07-2024,17
DELEGACIA DA CAPITANIA DE SÃO FRANCISCO DO SUL,DELEGACIA DA CAPITANIA DE SÃO FRANCISCO DO SUL,ALUCOM,63187.000016/2025-68,DELEGACIA DA CAPITANIA DE SÃO FRANCISCO DO SUL - 63187.000016/2025-68,18
DELEGACIA DA CAPITANIA DOS PORTOS EM ITAJAÍ,ESCOLA DE APRENDIZEM  DE MARINHEIROS DO CEARÁ,ALUCOM,63467.006334/2024-13,DELEGACIA DA CAPITANIA DOS PORTOS EM ITAJAÍ - 63467.006334/2024-13,19
SUPERINTENDÊNCIA FEDERAL DE AGRICULTURA E PECUARIA NO ESTADO DE SANTA CATARINA - SFA-SC,SUPERINTENDÊNCIA FEDERAL DE AGRICULTURA E PECUARIA NO ESTADO DE SANTA CATARINA - SFA-SC,ALUCOM,03-2024,SUPERINTENDÊNCIA FEDERAL DE AGRICULTURA E PECUARIA NO ESTADO DE SANTA CATARINA - SFA-SC - 03-2024,20
UFSC,UNIVERSIDADE FEDERAL DE SANTA CATARINA,ALUCOM,45/2024,UFSC - 45/2024,21
BASE ADMINISTRATIVA DO QUARTEL-GENERAL DO EXÉRCITO,BASE ADMINISTRATIVA DO QUARTEL-GENERAL DO EXÉRCITO,ALUCOM,04-2025,BASE ADMINISTRATIVA DO QUARTEL-GENERAL DO EXÉRCITO - 04-2025,22
MCID,MINISTÉRIO DAS CIDADES,ALUCOM,05-2025,MCID - 05-2025,23
COTER,COMANDO DE OPERAÇÕES TERRESTRES,ALUCOM,1-2025,COTER - 1-2025,24
CONSELHO FEDERAL DE FARMÁCIA,CONSELHO FEDERAL DE FARMÁCIA,ALUCOM,4-2025,CONSELHO FEDERAL DE FARMÁCIA - 4-2025,25
MCTI,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO",ALUCOM,05-2025,MCTI - 05-2025,26
MTE,MINISTÉRIO DO TRABALHO E EMPREGO,ALUCOM,52-2024,MTE - 52-2024,27
MT,MINISTÉRIO DOS TRANSPORTES,ALUCOM,06-2024,MT - 06-2024,28
MINISTÉRIO DA DEFESA - COMANDO DA AERONÁUTICA - GRUPAMENTO DE APOIO DE BRASÍLIA,MINISTÉRIO DA DEFESA - COMANDO DA AERONÁUTICA - GRUPAMENTO DE APOIO DE BRASÍLIA,ALUCOM,005/GAP-BR/2024,MINISTÉRIO DA DEFESA - COMANDO DA AERONÁUTICA - GRUPAMENTO DE APOIO DE BRASÍLIA - 005/GAP-BR/2024,29
COMANDO DA 8º REGIÃO MILITAR,COMANDO DA 8º REGIÃO MILITAR,ALUCOM,01-2026,COMANDO DA 8º REGIÃO MILITAR - 01-2026,30
HUJB,HOSPITAL UNIVERSITARIO JULIO BANDEIRA,ALUCOM,02/2024,HUJB - 02/2024,31
HUAC,HOSPITAL UNIVERSITARIO ALCIDES CARNEIRO,ALUCOM,22/2023,HUAC - 22/2023,32
HULW,HOSPITAL UNIVERSITARIO LAURO WANDERLEY,ALUCOM,07/2024,HULW - 07/2024,33
1o GRUPAMENTO DE ENGENHARIA,COMANDO DO 1º GRUPAMENTO DE ENGENHARIA,ALUCOM,27/2023,1o GRUPAMENTO DE ENGENHARIA - 27/2023,34
COLEGIO MILITAR DE SÃO PAULO,COLEGIO MILITAR DE SÃO PAULO,ALUCOM,01-2023,COLEGIO MILITAR DE SÃO PAULO - 01-2023,35
INCRA,INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA NO ESTADO DO MARANHÃO,ALUCOM,892/2024,INCRA - 892/2024,36
SEGER,SECRETARIA MUNICIPAL DA GESTÃO REGIONAL - SEGER,ALUCOM,026-2022 - SEGER,SEGER - 026-2022 - SEGER,37
CEGOR,COORDENADORIA ESPECIAL DE APOIO À GOVERNANÇA DAS REGIONAIS – CEGOR,ALUCOM,Nº 26/2022 - SEGER – SUB-ROGADO CEGOR,CEGOR - Nº 26/2022 - SEGER – SUB-ROGADO CEGOR,38
DETRAN MA,DETRAN,ALUCOM,06/2024-DETRAN/MA,DETRAN MA - 06/2024-DETRAN/MA,39
IPAM,IPAM,ALUCOM,0014/2022,IPAM - 0014/2022,40
PCDF,POLICIA CIVIL DO DISTRITO FEDERAL,ALUCOM,11/2025,PCDF - 11/2025,41
HEMOCENTRO PB,SECRETARIA DE ESTADO DA SAÚDE - HEMOCENTRO,ALUCOM,0096-2024,HEMOCENTRO PB - 0096-2024,42
ALEMA,ASSEMBLEIA LEGISLATIVA DO ESTADO DO MARANHÃO,ALUCOM,49/2023,ALEMA - 49/2023,43
SEAP-PB,SECRETARIA DE ESTADO DA ADMINISTRAÇÃO PENITENCIÁRIA – SEAP-PB,ALUCOM,0025/2024,SEAP-PB - 0025/2024,44
PCPB,POLICIA CIVIL DA PARAIBA,ALUCOM,0005/2024/PCPB,PCPB - 0005/2024/PCPB,45
SETUR,SETUR,ALUCOM,nº 2024.000006.37101.01,SETUR - nº 2024.000006.37101.01,46
CITINOVA,FUNDACAO CITINOVA,ALUCOM,005/2022,CITINOVA - 005/2022,47
RESENDE / SMA,RESENDE - SECRETARIA MUNICIPAL DE ADMINISTRAÇÃO / SMA,ALUCOM,17/2024,RESENDE / SMA - 17/2024,48
SECRETARIA MUNICIPAL DE SEGURANÇA COM CIDADANIA−SEMUSC - 007-2022,SECRETARIA MUNICIPAL DE SEGURANÇA COM CIDADANIA−SEMUSC,ALUCOM,007-2022,SECRETARIA MUNICIPAL DE SEGURANÇA COM CIDADANIA−SEMUSC - 007-2022 - 007-2022,49
CAMARA DE HORTOLANDIA,CAMARA MUNICIPAL DE HORTOLÂNDIA,ALUCOM,29-2023,CAMARA DE HORTOLANDIA - 29-2023,50
FMS PB,FMS,ALUCOM,11.079-2023,FMS PB - 11.079-2023,51
SEMCAS - 017-2022,SEMCAS,ALUCOM,017-2022,SEMCAS - 017-2022 - 017-2022,52
SEMCAS - 019-2022,SEMCAS,ALUCOM,019-2022,SEMCAS - 019-2022 - 019-2022,53
PREFEITURA MUNICIPAL DE ARACATI - CASA CIVIL,PREFEITURA MUNICIPAL DE ARACATI - CASA CIVIL,ALUCOM,2022.04.13-008,PREFEITURA MUNICIPAL DE ARACATI - CASA CIVIL - 2022.04.13-008,54
PREF. MUNICIPAL DE CANINDE - AGRICULTURA,PREF. MUNICIPAL DE CANINDE - AGRICULTURA,ALUCOM,20230929012,PREF. MUNICIPAL DE CANINDE - AGRICULTURA - 20230929012,55
