EVENTO,TIPO_EVENTO,CONTRATO,APELIDO,DESCRICAO,QUANTIDADE,
6,CADASTRO,ALECE,NOBREAK 700 VA,FORCE LINE 0010400008 – UPS MAX SECURITY 700VA 115V,30,"R$  42,2500"
6,CADASTRO,ALECE,"NOBREAK 1,5 KVA",FORCE LINE UPS OFFICE SECURITY PLUS 1500VA,20,"R$  141,4900"
6,CADASTRO,ALECE,NOBREAK 3 KVA,SMS POWER VISION NG 3000 VA,7,"R$  390,9800"
6,CADASTRO,ALECE,NOBREAK 30 KVA,NOBREAK 30 KVA TRIFÁSICO SCHNEIDER CLASSIC DSP,2,"R$  3.430,8100"
6,CADASTRO,ALECE,MONITOR,DELL PRO 27 PLUS - P2724DEB,20,"R$  73,7800"
6,CADASTRO,ALECE,NOTEBOOK TIPO 1,"LENOVO E14 G2, I3-1115G, 256SSD, 8GB RAM",50,"R$  249,0000"
6,CADASTRO,ALECE,NOTEBOOK TIPO 2,DELL LATITUDE 3450 + I7-1355U + 32GB RAM,10,"R$  389,0000"
6,CADASTRO,ALECE,MICROCOMPUTADOR TIPO 1,"LENOVO THINKCENTRE M70S, I5-10400, 8GB, SSD 512GB, WINDOWS 10 PRO, MOUSE E TECLADO USB LENOVO + MONITOR 21.5"" LENOVO THINKVISION S22E-19",200,"R$  278,8500"
6,CADASTRO,ALECE,MICROCOMPUTADOR TIPO 2,"LENOVO THINKCENTRE_M70S, I7-10700, 8GB, SSD 512GB, WINDOWS 10 PRO, MOUSE E TECLADO USB LENOVO + MONITOR 21.5"" LENOVO THINKVISION T22I-20",85,"R$  330,2000"
6,CADASTRO,ALECE,MICROCOMPUTADOR TIPO 3,"LENOVO WORDKSTATION P340 TWR, XEON W-1250, 32GB, SSD 256GB, GPU DIDICADA 2GB DDR5, MOUSE E TECLADO USB LENOVO + MONITOR 24,5 LENOVO LEGION Y25-25",20,"R$  720,8500"
7,ADITIVO DE QUANTIDADE,ALECE,NOBREAK 700 VA,FORCE LINE 0010400008 – UPS MAX SECURITY 700VA 115V,30,"R$  42,2500"
7,ADITIVO DE QUANTIDADE,ALECE,"NOBREAK 1,5 KVA",FORCE LINE UPS OFFICE SECURITY PLUS 1500VA,20,"R$  141,4900"
7,ADITIVO DE QUANTIDADE,ALECE,NOBREAK 3 KVA,SMS POWER VISION NG 3000 VA,7,"R$  390,9800"
7,ADITIVO DE QUANTIDADE,ALECE,NOBREAK 30 KVA,NOBREAK 30 KVA TRIFÁSICO SCHNEIDER CLASSIC DSP,2,"R$  3.430,8100"
7,ADITIVO DE QUANTIDADE,ALECE,MONITOR,DELL PRO 27 PLUS - P2724DEB,20,"R$  73,7800"
7,ADITIVO DE QUANTIDADE,ALECE,NOTEBOOK TIPO 1,"LENOVO E14 G2, I3-1115G, 256SSD, 8GB RAM",90,"R$  249,0000"
7,ADITIVO DE QUANTIDADE,ALECE,NOTEBOOK TIPO 2,DELL LATITUDE 3450 + I7-1355U + 32GB RAM,10,"R$  389,0000"
7,ADITIVO DE QUANTIDADE,ALECE,MICROCOMPUTADOR TIPO 1,"LENOVO THINKCENTRE M70S, I5-10400, 8GB, SSD 512GB, WINDOWS 10 PRO, MOUSE E TECLADO USB LENOVO + MONITOR 21.5"" LENOVO THINKVISION S22E-19",280,"R$  278,8500"
7,ADITIVO DE QUANTIDADE,ALECE,MICROCOMPUTADOR TIPO 2,"LENOVO THINKCENTRE_M70S, I7-10700, 8GB, SSD 512GB, WINDOWS 10 PRO, MOUSE E TECLADO USB LENOVO + MONITOR 21.5"" LENOVO THINKVISION T22I-20",85,"R$  330,2000"
7,ADITIVO DE QUANTIDADE,ALECE,MICROCOMPUTADOR TIPO 3,"LENOVO WORDKSTATION P340 TWR, XEON W-1250, 32GB, SSD 256GB, GPU DIDICADA 2GB DDR5, MOUSE E TECLADO USB LENOVO + MONITOR 24,5 LENOVO LEGION Y25-25",20,"R$  720,8500"
8,CADASTRO,10a REGIAO MILITAR,IMPRESSORA MONOCROMÁTICO –  PÁGINAS A4,KYOCERA ECOSYSMA5500ifx + OCR,40,
8,CADASTRO,10a REGIAO MILITAR,IMPRESSORA POLICROMÁTICO  –  PÁGINAS – A4,KYOCERA ECOSYS MA3500cix + OCR,80,
8,CADASTRO,10a REGIAO MILITAR,IMPRESSORA  MONOCROMÁTICO –  PÁGINAS  A3,KYOCERA TASKALFA 2554CI + DP-7160 + OCR,1,
10,CADASTRO,CMFOR,"IMPRESSÃO CORPORATIVA OU OUTSOURCING DE IMPRESSÃO, COM O FORNECIMENTO DE EQUIPAMENTOS",KYOCERA M2640IDW + PF1100,14,
10,CADASTRO,CMFOR,"IMPRESSÃO CORPORATIVA OU OUTSOURCING DE IMPRESSÃO, COM O FORNECIMENTO DE EQUIPAMENTOS",KYOCERA TASKALFA 5004I,3,
13,CADASTRO,ESCOLA DE APRENDIZEM  DE MARINHEIROS DO CEARÁ,IMPRESSORA POLICROMÁTICO  –  PÁGINAS – A4,KYOCERA ECOSYS  M6230cidn,2,
